Topic,Length,Engagement Rating (1-10),Hashtags
Coffee/Beverage,182,7,"#CoffeeAdventures, #SupportLocal"
Fitness,209,9,"#FitnessJourney, #SmallWins"
Books,187,8,"#BookTalk, #ReadMore"
Productivity,202,7,"#CareerAdvice, #MentalHealth"
Nature,146,6,"#NatureHeals, #EveningHike"
Food,198,8,"#FamilyRecipes, #FoodMemories"
Self-Care,160,9,"#SelfCare, #BurnoutPrevention"
Entertainment,203,9,"#LiveMusic, #ConcertLife"
Minimalism,170,7,"#MinimalistJourney, #LessIsMore"
Science/Facts,165,6,"#DidYouKnow, #LearningDaily"
